各銀行開戶數,
bank,total
台新國際商業銀行,"22,031,935 "
國泰世華商業銀行,"9,823,527 "
永豐商業銀行,"7,047,907 "
第一商業銀行,"5,011,210 "
王道商業銀行,"3,678,822 "
中國信託商業銀行,"3,250,085 "
連線商業銀行,"2,414,669 "
華南商業銀行,"2,285,944 "
聯邦商業銀行,"2,231,106 "
彰化商業銀行,"1,882,394 "
合作金庫商業銀行,"1,598,026 "
玉山商業銀行,"1,511,793 "
台北富邦商業銀行,"1,191,523 "
兆豐國際商業銀行,"847,300 "
遠東國際商業銀行,"585,591 "
臺灣土地銀行,"504,832 "
花旗(台灣)商業銀行,"483,762 "
臺灣新光商業銀行,"402,940 "
上海商業儲蓄銀行,"339,925 "
樂天國際商業銀行,"297,451 "
臺灣銀行,"230,005 "
渣打國際商業銀行,"185,761 "
臺灣中小企業銀行,"158,212 "
星展(台灣)商業銀行,"99,548 "
京城商業銀行,"72,625 "
凱基商業銀行,"70,432 "
匯豐(台灣)商業銀行,"68,035 "
安泰商業銀行,"46,561 "
高雄銀行,"45,404 "
元大商業銀行,"37,904 "
陽信商業銀行,"23,844 "
將來商業銀行,"8,665 "
台中商業銀行,"2,377 "
瑞興商業銀行,"2,284 "
日盛國際商業銀行,"1,273 "
三信商業銀行,"1,163 "
華泰商業銀行,740 
板信商業銀行,185 
,
單位：戶數,
